Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
The League of Extraordinary Gentlemen,2003.0,11 Jul 2003,"Action, Adventure, Fantasy",110 min,Stephen Norrington,"Alan Moore, Kevin O'Neill, James Robinson","Sean Connery, Stuart Townsend, Peta Wilson",PG-13,5.8,30.0,"186,319",12 nominations,"$66,465,204","United States, Germany, Czech Republic, United Kingdom","English, German, Italian","Renowned adventurer Allan Quatermain leads a team of extraordinary figures with legendary powers to battle the technological terror of a madman known as ""The Fantom"". This ""League"" comprises seafarer and inventor Captain Nemo, vampire Mina Harker, an invisible man named Rodney Skinner, American Secret Service Agent Tom Sawyer, the ageless and invincible Dorian Gray, and the dangerous split personality of Dr. Jekyll and Mr. Hyde.",https://m.media-amazon.com/images/M/MV5BYWY3NjI0ODMtMGEwMy00NzVjLWJlMjYtNTc1YTJkNmY2NGRhXkEyXkFqcGc@._V1_SX300.jpg
Terminator 3: Rise of the Machines,2003.0,02 Jul 2003,"Action, Sci-Fi",109 min,Jonathan Mostow,"John Brancato, Michael Ferris, Tedi Sarafian","Arnold Schwarzenegger, Nick Stahl, Kristanna Loken",R,6.3,66.0,"425,584",3 wins & 24 nominations total,"$150,371,112","United Kingdom, Germany, United States",English,"More than 10 years after 'Terminator 2', John Connor now exists only as a drifter - living 'off the grid', so no more Terminators from the future can hunt him down. Unfortunately, SkyNet does send another one back - and this one is called the T-X, even more powerful &amp; advanced than the dreaded T-1000. However, another CSM-101 Terminator is also sent back to protect John against the T-X. Now, Skynet is patiently assuming control of civilian computer systems, under the guise of a computer virus. John has also met his future wife, Kate Brewster, whose father - a U.S. Air Force General - is in charge of the military computer systems &amp; is leery of up linking SkyNet. However, when the SkyNet virus infects the U.S military computers &amp; leaves the country open to attack, the machines begin their horrific takeover. Soon a nuclear war will result - and the war against the machines will begin. Can the outdated CSM-101 Terminator eliminate the highly advanced T-X - or will a darker future await man following the nuclear attack?",https://m.media-amazon.com/images/M/MV5BMTk5NzM1ODgyN15BMl5BanBnXkFtZTcwMzA5MjAzMw@@._V1_SX300.jpg
Underworld,2003.0,19 Sep 2003,"Action, Fantasy, Thriller",121 min,Len Wiseman,"Kevin Grevioux, Len Wiseman, Danny McBride","Kate Beckinsale, Scott Speedman, Shane Brolly",R,7.0,42.0,"292,786",1 win & 10 nominations total,"$51,970,690","United States, United Kingdom, Germany, Hungary",English,"Against the backdrop of an unseen centuries-old war between the sophisticated Vampire clan and the brutish clan of lycanthropes, the Lycans, the lethally alluring vampire assassin and member of the elite ""Death Dealers"" squad, Selene, has devoted her existence to eradicating the earth's scattered pockets of remaining werewolves. With the death of the Lycans' supreme overlord, Lucian, the vampires' victory seems near; however, when their arch-enemy takes a special interest in the seemingly harmless human doctor, Michael Corvin, Selene will unearth a long-standing conspiracy. Now, treason, deceit, and conflicting feelings stand in the way of truth, forcing Selene to break protocol for the sake of the vampire race. Can a forbidden relationship put in jeopardy her noble quest? Is this the beginning of a new era, and an entirely different war?",https://m.media-amazon.com/images/M/MV5BOWIwZjFkYjktZTI3My00YzhkLWI5NmUtZDYyMTg5ZWVmODZkXkEyXkFqcGc@._V1_SX300.jpg
The Room,2003.0,27 Jun 2003,Drama,99 min,Tommy Wiseau,Tommy Wiseau,"Tommy Wiseau, Juliette Danielle, Greg Sestero",R,3.6,9.0,"96,740",1 win total,"$549,602",United States,English,"In San Francisco, Johnny's live-in fiancee of seven years, Lisa, has been cheating on him with his friend Mark, and Johnny doesn't know. If Johnny ever found out, would Mark still be his best friend? And what other troubles lurk in his life?",https://m.media-amazon.com/images/M/MV5BYmNkMThiODYtZTAzMC00ODJkLTg5MmEtMWIyMGFlZDlkYmNlXkEyXkFqcGc@._V1_SX300.jpg
Elephant,2003.0,14 Nov 2003,"Crime, Drama, Thriller",81 min,Gus Van Sant,Gus Van Sant,"Elias McConnell, Alex Frost, Eric Deulen",R,7.1,70.0,"99,575",8 wins & 13 nominations total,"$1,266,955",United States,"English, German",A day in the lives of a group of average teenage high school students. The film follows every character and shows their daily routines. However two of the students plan to do something that the student body won't forget.,https://m.media-amazon.com/images/M/MV5BMTIwZjA2OGYtNmYyMS00MjJjLWIxYTEtOTEyMTZjMGYzMTM2XkEyXkFqcGc@._V1_SX300.jpg
Something's Gotta Give,2003.0,12 Dec 2003,"Comedy, Drama, Romance",128 min,Nancy Meyers,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves",PG-13,6.7,66.0,"131,290",Nominated for 1 Oscar. 8 wins & 13 nominations total,"$124,728,738",United States,"English, French","Harry Sanborn is an aged music industry exec with a fondness for younger women like Marin, his latest trophy girlfriend. Things get a little awkward when Harry suffers a heart attack at the home of Marin's mother Erica. Left in the care of Erica and his doctor, a love triangle starts to take shape.",https://m.media-amazon.com/images/M/MV5BZWVkNmY0ODktOWE0MS00MGJkLTk4YTktMGM0NDFhODNiN2YxXkEyXkFqcGc@._V1_SX300.jpg
The Matrix Revolutions,2003.0,05 Nov 2003,"Action, Sci-Fi",129 min,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",R,6.7,47.0,"558,579",5 wins & 36 nominations total,"$139,313,948","United States, Australia","English, French","Neo finds himself trapped between the Matrix and the Real World. Meanwhile, Zion is preparing for the oncoming war with the machines with very little chances of survival. Neo's associates set out to free him from The Merovingian since it's believed that he is the One who will end the war between humans and the machines. What they do not know is that there is a threat from a third party, someone who has plans to destroy both worlds.",https://m.media-amazon.com/images/M/MV5BMmNmMTEzODQtNmExMS00OGUxLWFkNTItMTM3NzBlNDk0YWU5XkEyXkFqcGc@._V1_SX300.jpg
Out of Time,2003.0,03 Oct 2003,"Crime, Drama, Mystery",105 min,Carl Franklin,Dave Collard,"Denzel Washington, Sanaa Lathan, Eva Mendes",PG-13,6.5,63.0,"67,297",5 wins & 7 nominations total,"$41,088,845",United States,English,"Matt Whitlock, the police chief of the small town of Banyan Key, Florida, is separated from his wife, Alex, a police homicide detective in MIami. Matt's been having an affair with Ann Merai Harrison, a woman who's separated from her abusive husband, Chris, and says she has cancer, as well. When her doctor tells her of a new expensive treatment, Matt decides to give her the nearly half a million dollars in an evidence lock up that he seized from a local drug bust. When Ann and her husband turn up dead only days after naming Chief Whitlock as beneficiary on a million dollar Life insurance policy, things start heating up for Whitlock as the evidence his wife Alex is gathering stacks up against him. And as if things couldn't get worse, the D.E.A. now want the drug money a.s.a.p. Anxiety runs high for Whitlock as he scrambles to figure out who has set him up and also recover half a million dollars all while trying not to break a sweat or draw any suspicions. He's a man who is way out of his depth, nearly out of luck, and desperately close to being out of time.",https://m.media-amazon.com/images/M/MV5BMjAxMTMzNTI5Ml5BMl5BanBnXkFtZTcwNDAwMTQ2NA@@._V1_SX300.jpg
Brother Bear,2003.0,01 Nov 2003,"Animation, Adventure, Comedy",85 min,"Aaron Blaise, Robert Walker","Tab Murphy, Lorne Cameron, David Hoselton","Joaquin Phoenix, Jeremy Suarez, Rick Moranis",G,6.9,48.0,"128,243",Nominated for 1 Oscar. 2 wins & 22 nominations total,"$85,336,277","United States, Japan","English, Inuktitut, Croatian, Serbian","Kenai, a man who resents bears after a fight with one kills his older brother, is turned into a bear so he can see life from a different perspective. He is visited by the spirit of his older brother, and is told that, if he wishes to be changed back into a human, he must travel to the place where the lights touch the Earth, in other words, the Northern Lights. Fueled by hope, Kenai sets off on his long journey, and, along the way, encounters a younger bear, Koda, who is a chatterbox and a fun-loving spirit; Koda is trying to find his way back to his home, the Salmon Run, which, coincidentally, is right next to where the lights touch the Earth. Koda and Kenai team up, but are hunted by Kenai's other brother, Denahi, who fears that the bear has killed Kenai as well. Along the way, the two bears meet other friends, including two moose, some rams, and some mammoths, with whom they hitch a ride. However, Kenai discovers that he likes being a bear, and realizes that humans aren't only afraid of bears; through Koda's eyes, the humans are the monsters, with their long spears. With a whole new view on life, Kenai makes a decision that will change his world forever.",https://m.media-amazon.com/images/M/MV5BMTIyNTAyNDYxNF5BMl5BanBnXkFtZTYwNjYwMjg2._V1_SX300.jpg
Freddy vs. Jason,2003.0,15 Aug 2003,"Action, Horror",97 min,Ronny Yu,"Wes Craven, Victor Miller, Damian Shannon","Robert Englund, Ken Kirzinger, Kelly Rowland",R,5.7,37.0,"129,907",2 wins & 11 nominations,"$82,633,448","Canada, United States",English,"It's been nearly ten years since Freddy Krueger terrorized people in the dreams, and the towns folk want to keep him erased from their memory. Freddy still has one more plan on getting back to Elm Street. He resurrects Jason Voorhees and sends him off to kill. The more bodies which fall to the ground, the stronger in which Freddy becomes. This is until, Freddy realizes that Jason isn't going to step aside easily, and must be taken down himself.",https://m.media-amazon.com/images/M/MV5BOTc4ODQ3YTAtNDJiZi00NTUzLTllOWUtYjE3NjYyNjdlNDlmXkEyXkFqcGc@._V1_SX300.jpg
Master and Commander: The Far Side of the World,2003.0,14 Nov 2003,"Action, Adventure, Drama",138 min,Peter Weir,"Patrick O'Brian, Peter Weir, John Collee","Russell Crowe, Paul Bettany, Billy Boyd",PG-13,7.5,81.0,"244,015",Won 2 Oscars. 23 wins & 90 nominations total,"$93,927,920",United States,"English, French, Portuguese","In April 1805 during the Napoleonic Wars, H.M.S. Surprise, a British frigate, is under the command of Captain Jack Aubrey. Aubrey and the Surprise's current orders are to track and capture or destroy a French privateer named Acheron. The Acheron is currently in the Atlantic off South America headed toward the Pacific in order to extend Napoleon's reach of the wars. This task will be a difficult one as Aubrey quickly learns in an initial battle with the Acheron that it is a bigger and faster ship than the Surprise, which puts the Surprise at a disadvantage. Aubrey's single-mindedness in this seemingly impossible pursuit puts him at odds with the Surprise's doctor and naturalist, Stephen Maturin, who is also Aubrey's most trusted advisor on board and closest friend. Facing other internal obstacles which have resulted in what they consider a string of bad luck, Aubrey ultimately uses Maturin's scientific exploits to figure out a way to achieve his and the ship's seemingly impossible goal.",https://m.media-amazon.com/images/M/MV5BZDEzYmZmOTYtMzdlYS00MWNjLWE2YjEtMzkyZTMyOWZjMjkyXkEyXkFqcGc@._V1_SX300.jpg
Charlie's Angels: Full Throttle,2003.0,27 Jun 2003,"Action, Adventure, Comedy",106 min,McG,"Ivan Goff, Ben Roberts, John August","Drew Barrymore, Lucy Liu, Cameron Diaz",PG-13,4.9,48.0,"135,454",9 wins & 21 nominations total,"$100,830,111",United States,"English, Mandarin, Spanish","The Angels--Natalie, Dylan, and Alex are back again but this time they're preparing for a strike without even warning as they go undercover to retrieve two missing silver bands. These are no ordinary rings. They contain valuable encrypted information that reveal the new identities of every person in the Federal Witness Protection Program. When witnesses start turning up dead, only the Angels, using their expertise as masters of disguise, espionage and martial arts can stop the perpetrator, a mysterious ""fallen"" Angel. Aided by their trusty colleague, Jimmy Bosley, the Angels' adventure begins at a remote Mongolian outpost and ends only after Dylan is forced to face a dark secret from her past--a secret that puts the lives of her two best friends in danger.",https://m.media-amazon.com/images/M/MV5BMTM0MTg3OTU5N15BMl5BanBnXkFtZTYwMDc4MzU3._V1_SX300.jpg
Secondhand Lions,2003.0,19 Sep 2003,"Comedy, Drama, Family",109 min,Tim McCanlies,Tim McCanlies,"Haley Joel Osment, Michael Caine, Robert Duvall",PG,7.5,52.0,"63,221",1 win & 6 nominations,"$42,070,939","United States, United Kingdom, Slovakia",English,"A boy named Walter is dropped by his mother Mae at his great-uncles' house. Later, Walter will find out his great-uncles' big secret, and rumors say that Hub and Garth, Walter's great-uncles, have stolen a lot of gold and money. (some say they stole it from Al Capone) Did they really steal that money or not?",https://m.media-amazon.com/images/M/MV5BYTlmYjViMWItMDE0MS00OGFlLTg3YWUtMjUyNTQzMWI4ZGYxXkEyXkFqcGc@._V1_SX300.jpg
The Texas Chainsaw Massacre,2003.0,17 Oct 2003,Horror,98 min,Marcus Nispel,"Kim Henkel, Tobe Hooper, Scott Kosar","Jessica Biel, Jonathan Tucker, Andrew Bryniarski",R,6.2,38.0,"155,952",4 wins & 17 nominations total,"$80,571,655",United States,English,"Driving through the backwoods of Texas, five youths pick up a traumatized hitchhiker, who shoots herself in their van. Shaken by the suicide, the group seeks help from the locals, but their situation becomes even more surreal when they knock on the door of a remote homestead. It's quickly apparent the residents are a family of inbred psychopaths, and the unlucky youths suddenly find themselves running for their lives. In hot pursuit is a disfigured, chainsaw-wielding cannibal known as Leatherface.",https://m.media-amazon.com/images/M/MV5BNzY0MDQwMTctYzQ1Mi00ODIwLThlMWQtODQ0NzA2ZTg3ZDFhXkEyXkFqcGc@._V1_SX300.jpg
Freaky Friday,2003.0,06 Aug 2003,"Comedy, Family, Fantasy",97 min,Mark Waters,"Mary Rodgers, Heather Hach, Leslie Dixon","Jamie Lee Curtis, Lindsay Lohan, Mark Harmon",PG,6.3,70.0,"159,547",5 wins & 11 nominations total,"$110,230,332",United States,"English, Mandarin","The wide generation gap between Tess Coleman and her teenage daughter Anna is more than evident. They simply cannot understand each other's preferences. On a Thursday night they have a big argument in a Chinese restaurant. Both receive a fortune cookie each from the restaurant owner's mother which causes them to switch bodies next day. As they adjust with their new personalities, they begin to understand each other more and eventually it's the mutual self-respect that sorts the things out.",https://m.media-amazon.com/images/M/MV5BOGNhNDAyZWUtNmU3My00ZWRlLTkwYTgtMzZiYmNjNmM0MzVkXkEyXkFqcGc@._V1_SX300.jpg
Wrong Turn,2003.0,30 May 2003,"Horror, Thriller",84 min,Rob Schmidt,Alan B. McElroy,"Eliza Dushku, Jeremy Sisto, Emmanuelle Chriqui",R,6.1,32.0,"137,499",3 nominations total,"$15,418,790","United States, Germany, Canada",English,"Chris Flynn is driving his car for a job interview in another city. However, an accident with a trunk transporting chemical products blocks the highway and Chris looks for an alternative route through the mountains of West Virginia to accomplish his schedule. Due to a lack of attention, he crashes another car parked in the middle of the road with flat tires. Chris meets a group of five friends, who intended to camp in the forest, and they decide to leave the couple Francine and Evan on the place, while Chris, Jessie, Carly and her fiancé Scott tries to find some help. They find a weird cabin in the middle of nowhere, where three violent cannibalistic mountain men with the appearance of monsters live. The two couples try to escape from the mountain men while chased by them.",https://m.media-amazon.com/images/M/MV5BYTdkNWM0OWQtYTdlMy00YmVkLWE4YTQtNDgwZDIwNjg4MzBkXkEyXkFqcGc@._V1_SX300.jpg
The Brown Bunny,2003.0,14 Nov 2003,Drama,93 min,Vincent Gallo,Vincent Gallo,"Vincent Gallo, Chloë Sevigny, Cheryl Tiegs",Not Rated,4.9,51.0,"16,981",1 win & 6 nominations total,"$366,301","United States, Japan",English,"After racing in New Hampshire, the lonely motorcycle racer Bud Clay drives his van in a five-day journey to California for the next race. Along his trip, he meets fans, a lonely women, and prostitutes, but he leaves them since he is actually pining for the woman he loves, Daisy. He goes to her house and leaves a note telling where he is lodged. Out of the blue, Daisy appears in his hotel room and soon he learns the reason of why he can't find her.",https://m.media-amazon.com/images/M/MV5BZmQzMDg5YjUtNjRmOC00NzZhLWJlYzYtNjhlYTE4NzI1NjgyXkEyXkFqcGc@._V1_SX300.jpg
Identity,2003.0,25 Apr 2003,"Mystery, Thriller",90 min,James Mangold,Michael Cooney,"John Cusack, Ray Liotta, Amanda Peet",R,7.3,64.0,"277,767",1 win & 11 nominations total,"$52,159,536",United States,English,"Malcolm Rivers has been convicted as the perpetrator of several murders and is sentenced to death. An 11th-hour defense by his lawyers and psychiatrist that Malcolm is insane based on new evidence has resulted in them meeting with the prosecutors and the judge to discuss whether the verdict should be overturned. Meanwhile, on a dark night during a torrential rainstorm in the Nevada desert, a series of chain-reaction events results in several people needing to stay at an out-of-the-way motel managed by Larry. They are: ex-cop, now limo driver Ed and his client Caroline, a diva of a once-famous actress; quiet adolescent Timmy, his stepfather George, and his mother Alice, who was seriously injured when Ed accidentally ran over her as she watched George change their flat tire; prostitute Paris, who was the unwitting cause of George's flat tire; newlyweds Lou and Ginny, whose marriage is based on a lie; and Police Officer Rhodes, who was en route escorting prisoner Robert to his new institution. None can leave because of washed-out roads, all the other businesses around the motel are closed because of the storm, and all communication in and out is not functioning also because of the storm. One by one, they are murdered, the murderer leaving a calling card of a motel room key, starting with the room 10 key and working his way presumably to the room 1 key when the last person will be dead. Those still alive band somewhat together under Officer Rhodes and Ed's direction to find out which of the 11 is the murderer, and if, based on one of their theories, that they were brought to the motel by some force by the murderer as his intended targets. Whether those still alive can discover who the murderer is, discover why he has chosen to kill them, and be able to subdue him may well determine Malcolm's fate.",https://m.media-amazon.com/images/M/MV5BZTg1YWUyODktMWY5MC00ZjliLTg3YmUtZDliMGZhZDZmMzU5XkEyXkFqcGc@._V1_SX300.jpg
Bad Boys II,2003.0,18 Jul 2003,"Action, Comedy, Crime",147 min,Michael Bay,"George Gallo, Marianne Wibberley, Cormac Wibberley","Will Smith, Martin Lawrence, Gabrielle Union",R,6.6,38.0,"278,802",5 wins & 13 nominations total,"$138,608,444",United States,"English, Spanish, Russian","Miami is being flooded with ecstasy that's coming from Cuba through drug lord Johnny Tapia. Detectives Mike Lowrey and Marcus Burnett are on the case, and are determined to bring the man to justice. Additional drama is provided by friction with the DEA, which counts Marcus' younger sister Sydney among its agents, and from Marcus possibly transferring out of the department, leaving Mike without his longtime partner.",https://m.media-amazon.com/images/M/MV5BMTVkM2YxODItOGNlMy00NWExLWI2NTgtODEzMmM5NThiM2E2XkEyXkFqcGc@._V1_SX300.jpg
The Life of David Gale,2003.0,21 Feb 2003,"Crime, Drama, Mystery",130 min,Alan Parker,Charles Randolph,"Kevin Spacey, Kate Winslet, Laura Linney",R,7.5,31.0,"128,568",3 nominations total,"$19,955,598","United Kingdom, Germany, United States","English, Spanish","When anti-death-penalty activist David Gale is convicted and condemned to death for the murder of a colleague, reporter Bitsey Bloom sets out to learn the story behind Gale's crime. What she finds challenges her belief in Gale's guilt and, finally, in the justice system.",https://m.media-amazon.com/images/M/MV5BMTAxMzU0NTgxNzZeQTJeQWpwZ15BbWU2MDQzNDkxNw@@._V1_SX300.jpg
Cold Mountain,2003.0,25 Dec 2003,"Adventure, Drama, Romance",154 min,Anthony Minghella,"Charles Frazier, Anthony Minghella","Jude Law, Nicole Kidman, Renée Zellweger",R,7.2,73.0,"160,033",Won 1 Oscar. 20 wins & 101 nominations total,"$95,636,509","United States, Italy, Romania",English,"This Civil War saga addresses romance, friendship, and the ravages of war - both in the field and on the home front. Captures the horrors of war for both those fighting it, and for those left behind. This is a tale of hope, longing, redemption, second chances, and faith.",https://m.media-amazon.com/images/M/MV5BMTY3NTc5NzcyOF5BMl5BanBnXkFtZTcwMDM0NjQyMQ@@._V1_SX300.jpg
Hulk,2003.0,20 Jun 2003,"Action, Sci-Fi",138 min,Ang Lee,"Stan Lee, Jack Kirby, James Schamus","Eric Bana, Jennifer Connelly, Sam Elliott",PG-13,5.6,54.0,"284,804",3 wins & 14 nominations total,"$132,177,234",United States,"English, Spanish",Bruce is an ordinary Gamma expert who one day gets blasted with radiation and somehow survives. But in the process a monster was born. Now whenever he gets angry he grows bigger and stronger until he is no longer Bruce Banner. He becomes The Hulk,https://m.media-amazon.com/images/M/MV5BNTQxMmVlMTItMGFjYi00MTc2LWE5MzMtYjFhZWJmZGY0MTY5XkEyXkFqcGc@._V1_SX300.jpg
Mona Lisa Smile,2003.0,19 Dec 2003,Drama,117 min,Mike Newell,"Lawrence Konner, Mark Rosenthal","Julia Roberts, Kirsten Dunst, Julia Stiles",PG-13,6.6,45.0,"94,368",6 nominations total,"$63,860,942",United States,"English, Italian","Katherine Ann Watson has accepted a position teaching art history at the prestigious Wellesley College. Watson is a very modern woman, particularly for the 1950s, and has a passion not only for art but for her students. For the most part, the students all seem to be biding their time, waiting to find the right man to marry. The students are all very bright and Watson feels they are not reaching their potential. Altough a strong bond is formed between teacher and student, Watson's views are incompatible with the dominant culture of the college.",https://m.media-amazon.com/images/M/MV5BZmIyM2M5MTQtMDQ4ZS00N2E3LWFiMmQtY2RmNTdmOGNjODIxXkEyXkFqcGc@._V1_SX300.jpg
The Matrix Reloaded,2003.0,15 May 2003,"Action, Sci-Fi",138 min,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",R,7.2,62.0,"649,157",8 wins & 34 nominations total,"$281,576,461",United States,"English, French, Italian","In this second adventure, Neo and the rebel leaders estimate that they have 72 hours until Zion falls under siege to the Machine Army. Only a matter of hours separates the last human enclave on Earth from 250,000 Sentinels programmed to destroy mankind. But the citizens of Zion, emboldened by Morpheus conviction that the One will fulfill the Oracles Prophecy and end the war with the Machines, rest all manner of hope and expectation on Neo, who finds himself stalled by disturbing visions as he searches for a course of action.",https://m.media-amazon.com/images/M/MV5BNjAxYjkxNjktYTU0YS00NjFhLWIyMDEtMzEzMTJjMzRkMzQ1XkEyXkFqcGc@._V1_SX300.jpg
The Cat in the Hat,2003.0,21 Nov 2003,"Adventure, Comedy, Family",82 min,Bo Welch,"Dr. Seuss, Alec Berg, David Mandel","Mike Myers, Spencer Breslin, Dakota Fanning",PG,4.1,19.0,"90,110",7 wins & 22 nominations total,"$101,149,285","United States, Canada",English,"Conrad and Sally Walden (Spencer Breslin and Dakota Fanning) are home alone with their pet fish. It is raining outside, and there is nothing to do. Until The Cat in the Hat ('Mike Myers') walks in the front door. He introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and The Cat must go, go, go, before their mother gets back, but their pompous neighbor has bigger plans for them.",https://m.media-amazon.com/images/M/MV5BMTI5MDU3MTYyMF5BMl5BanBnXkFtZTYwODgyODc3._V1_SX300.jpg
The Italian Job,2003.0,30 May 2003,"Action, Crime, Thriller",111 min,F. Gary Gray,"Troy Kennedy Martin, Donna Powers, Wayne Powers","Donald Sutherland, Mark Wahlberg, Edward Norton",PG-13,7.0,68.0,"397,282",7 wins & 9 nominations total,"$106,128,601","United States, Italy, United Kingdom, Germany, France","English, Russian, Italian","Led by John Bridger (Donald Sutherland) and Charlie Croker (Mark Wahlberg) a team is assembled for one last heist to steal $35 million in gold bars from a heavily guarded safe in Venice, Italy. After successfully pulling off the heist, a team member, Steve (Edward Norton), driven by greed and jealousy, arranges to take the gold for himself and eliminate the remaining members of the group. Thinking the team dead, he returns to Los Angeles with the gold. Charlie and the survivors of this betrayal follow Steve to L.A. to exact revenge against the traitor. Charlie enlists the help of John Bridger's daughter, Stella (Charlize Theron) - a professional safe cracker - to get revenge. With Stella and the hacking skills of Lyle (Seth Green), the explosives skills of ""Left Ear"" (Yasiin Bey), and the driving skills of ""Handsome"" Rob (Jason Statham) this new team plans and executes a daring heist that weaves through the freeways and subways of L.A.",https://m.media-amazon.com/images/M/MV5BMjJjNzc5YjAtZjU2Ni00ZjVkLTkzYmItM2E2NDM0NWE1YmJhXkEyXkFqcGc@._V1_SX300.jpg
Holes,2003.0,18 Apr 2003,"Adventure, Comedy, Drama",117 min,Andrew Davis,Louis Sachar,"Shia LaBeouf, Sigourney Weaver, Jon Voight",PG,7.0,71.0,"103,550",3 wins & 9 nominations total,"$67,406,573",United States,English,"""But if you forget to come back for Madame Zeroni, you and your family will be cursed for always and eternity."" Those were the exact words spoken to young Elya Yelnats the day he forgot to repay Madame Zeroni. From then on his family was cursed with bad luck. One hundred years later Stanley Yelnats IV is accused of stealing a pair of cleats from a major league baseball player and sent to Camp Green Lake (a dry lake bed in the middle of the desert). It never rains at Camp Green Lake, it hasn't for one hundred years. The secretive and mysterious Warden has each inmate spend every day digging one hole to ""build character."" But when an artifact from the famous ""Kissin' Kate"" Barlow is found in a hole, the Warden forces the boys to work double time leading Stanley to deduce they're digging because the Warden is looking for something. But what? And how is the mystery of Camp Green Lake connected to Stanley's family curse?",https://m.media-amazon.com/images/M/MV5BMTg0MTU5ODkwM15BMl5BanBnXkFtZTYwMzgxNzY3._V1_SX300.jpg
Cheaper by the Dozen,2003.0,25 Dec 2003,"Comedy, Family",98 min,Shawn Levy,"Frank B. Gilbreth Jr., Ernestine Gilbreth Carey, Craig Titley","Steve Martin, Bonnie Hunt, Hilary Duff",PG,5.9,46.0,"111,059",2 wins & 7 nominations total,"$138,614,544",United States,English,"Juggling career and family can be a lot. Tom and Kate Baker, the proud parents of not one but 12 children, have chosen family over career aspirations. However, their lives suddenly change when small-town coach Tom is offered his dream job, and Kate's book has been accepted for publication. Now, with Kate promoting her book, it is up to Tom to look after the children, take care of the house, and handle a new job. Can Tom bring order out of chaos?",https://m.media-amazon.com/images/M/MV5BMTg0NzYxMjY0Ml5BMl5BanBnXkFtZTcwOTU0NDczMw@@._V1_SX300.jpg
The Lizzie McGuire Movie,2003.0,02 May 2003,"Adventure, Comedy, Family",94 min,Jim Fall,"Susan Estelle Jansen, Ed Decter, John J. Strauss","Hilary Duff, Adam Lamberg, Clayton Snyder",PG,5.5,56.0,"42,898",2 wins & 3 nominations,"$42,734,455",United States,"English, Italian","Teen queen Lizzie McGuire grows up a bit and hits the big screen in this comedy drama, based on the popular Disney Network series. Lizzie McGuire and her best friends Kate, Gordo, and Ethan have just graduated from middle school, and to celebrate, they're taking part in a class trip to Rome, Italy. Eager to celebrate their new maturity as high school students, Lizzie and her pals hope to live it up in one of Europe's most fabled cities, but fate has something more spectacular in store for Lizzie. Lizzie discovers that she bears a striking resemblance to Isabella, an Italian teen-pop idol famous for her duets with heart-throb Paolo -- so much so that when Paolo and Isabella have a falling out, he asks Lizzie to take Isabella's place for an upcoming concert. Lizzie, however, isn't sure she feels comfortable stepping into the spotlight, and is even less sure about the way she feels about Paolo, who makes no secret of his infatuation with her. Things don't get any simpler for Lizzie when her family gets wind of her newfound fame, and catch the next flight to Italy.",https://m.media-amazon.com/images/M/MV5BYjliMzM1NzUtNTM4Yi00OTA4LWJjZjktMmE3N2U1Mzg2ZmM2XkEyXkFqcGc@._V1_SX300.jpg
Monster,2003.0,30 Jan 2004,"Biography, Crime, Drama",109 min,Patty Jenkins,Patty Jenkins,"Charlize Theron, Christina Ricci, Bruce Dern",R,7.3,74.0,"166,588",Won 1 Oscar. 31 wins & 26 nominations total,"$34,469,210","United States, Germany",English,"The true story of serial killer Aileen Wuornos who was convicted of luring men to their death and eventually executed in 2002. In 1989, she was working as a prostitute and finally makes a friend when she meets and begins a relationship with a young woman, Selby. Determined to straighten out her life, she tries to find legitimate work but with little education and limited social skills, she fails at every turn. She starts working as a hooker hitching rides along the local interstate highway and after robbing a few clients has an encounter with a vicious client whom she kills in self-defense. After that however she just takes to killing clients taking their money and car. Once arrested she claims self-defense but is eventually convicted.",https://m.media-amazon.com/images/M/MV5BMTI4NzI5NzEwNl5BMl5BanBnXkFtZTcwNjc1NjQyMQ@@._V1_SX300.jpg
X2: X-Men United,2003.0,02 May 2003,"Action, Sci-Fi, Thriller",134 min,Bryan Singer,"Zak Penn, David Hayter, Bryan Singer","Patrick Stewart, Hugh Jackman, Halle Berry",PG-13,7.4,68.0,"592,466",6 wins & 41 nominations total,"$214,949,694","Canada, United States","English, German, Italian, Spanish","Several months have passed since the X-Men defeated Magneto and imprisoned him in a seemingly impregnable plastic chamber. One day, a mutant by the name of Nightcrawler infiltrates the White House and attempts to assassinate the President, setting off a chain reaction of anti-mutant measures by the government. Meanwhile, Logan is trying to discover his past. As scientist named William Stryker discovers Professor X's secret school and Cerebro, Magneto's partner, Mystique, is planning to break her leader out of prison. But when Professor X's school is attacked by Stryker's forces, Logan, Rogue, Iceman, and a few are lucky to escape. Those who remain meet in Boston, where they form an uneasy alliance with Magneto to stop Stryker and rescue Professor X.",https://m.media-amazon.com/images/M/MV5BNDk0NjYxMzIzOF5BMl5BanBnXkFtZTYwMTc1MjU3._V1_SX300.jpg
